Player,Team,Country
Connal McInerney,BRU,AUS
Vunipola Fifita,BRU,AUS
Caleb Clarke,BLU,NZ
Hugh Roach,REB,AUS
Jade Stighling,BUL,SA
Jaco Visagie,BUL,SA
JT Jackson,BUL,SA
Domingo Miotti,JAG,ARG
Ernst van Rhyn,STO,SA
Johan du Toit,STO,SA
Seabelo Senatla,STO,SA
Pita Sowakula,CHI,NZ
Jed Brown,BLU,NZ
Matt Duffie,BLU,NZ
Johannes Jonker,LIO,SA
Mzamo Majola,SHA,SA
John-Hubert Meyer,SHA,SA
Jean-Luc du Preez,SHA,SA
Santiago Carreras,JAG,ARG
RG Snyman,BUL,SA
Marco van Staden,BUL,SA
Wiehahn Herbst,BUL,SA
Roelof Smit,BUL,SA
Aidan Toua,RED,AUS
Jock Campbell,RED,AUS
Liam Polwart,CHI,NZ
Atunaisa Moli,CHI,NZ
Adam Korczyk,RED,AUS
Jordan Hyland,HIG,NZ
Dan Kriel,STO,SA
Ngane Punivai,CRU,NZ
Shaun Reynolds,LIO,SA
Shota Horie,SUN,JP
Yu Tamura,SUN,JP
Sef Fa'agase,HIG,NZ
Johan Grobbelaar,BUL,SA
Du’Plessis Kirifi,HUR,NZ
Patelesio Tomkinson,HIG,NZ
Atu Moli,CHI,NZ
Len Ikitau,BRU,AUS
Rosco Specman,BUL,SA
John Ben Kotze,BUL,SA
Andre Riaan Warner,BUL,SA
Tom Robertson,WAR,AUS
Hugh Sinclair,WAR,AUS
Ezekiel Lindenmuth,BLU,NZ
Ross Geldenhuys,HUR,NZ
David Kaetau Havili,CRU,NZ
Whetukamokamo Douglas,CRU,NZ
Mitchell Hunt,CRU,NZ
Liam Squire,HIG,NZ
Lucas Paulos,JAG,ARG
Sti Sithole,LIO,SA
Conan O'Donnell,SUN,JP
Sam Jeffries,REB,AUS
Matt To'omua,REB,AUS
Mitchell Jacobson,CHI,NZ
Sam Cane,CHI,NZ
Matt McGahan,RED,AUS
Daniel Hollinshead,HIG,NZ
Daymon Leasuasu,CHI,NZ
Sebastian Wileman,RED,AUS
Jordan Uelese,REB,AUS
Brodie McAlister,CRU,NZ
Hoskins Sotutu,BLU,NZ
Lucio Sordoni,JAG,ARG
Chad Solomon,STO,SA
Reinhard Nothnagel,LIO,SA
Yoshitaka Tokunaga,SUN,JP
Yuya Odo,SUN,JP
Timothy Lafaele,SUN,JP
Gavin Luka,RED,AUS
Scott Malolua,RED,AUS
Craig Burden,SHA,SA
Marno Redelinghuys,STO,SA
Peter Umaga-Jensen,HUR,NZ
