Team,Position,Name
WAR,Flank,Lachlan Swinton
WAR,Back,Lalakai Foketi
BRU,Wing,Lausii Taliauli
CRU,Back,Leicester Fainga'anuku
BLU,Hooker,Leni Apisai
BRU,Tighthead Prop,Les Leulua'iali'i-Makin
BRU,Tighthead Prop,Les Makin
BLU,Back,Levi Aumua
HIG,Hooker,Liam Coltman
HUR,Lock,Liam Mitchell
CHI,Hooker,Liam Polwart
RED,Flank,Liam Wright
LIO,Centre,Lionel Mapoe
BUL,Loosehead Prop,Lizo Gqoboka
BUL,Lock,Lodewyk De Jager
SHA,Scrumhalf,Louis Schreuder
BLU,Tighthead Prop,Lua Li
CHI,Flank,Luke Jacobson
REB,Lock,Luke Jones
CRU,Lock,Luke Romano
SHA,Flank,Luke Stringer
SUN,Lock,Luke Thompson
HIG,Flank,Luke Whitelock
RED,Flank,Lukhan Salakaia-Loto
SHA,Centre,Lukhanyo Am
SHA,Wing,Lwazi Mvovo
BLU,Centre,Ma'a Nonu
WAR,Flyhalf,Mack Mason
BRU,Back,Mackenzie Hansen
SHA,Wing,Makazole Mapimpi
LIO,Hooker,Malcolm Marx
CRU,Wing,Manasa Mataele
BUL,Flyhalf,Manie Libbok
BLU,Loosehead Prop,Marcel Renata
BUL,Flank,Marco van Staden
JAG,Flank,Marcos Kremer
REB,Wing,Marika Koroibete
HIG,Flank,Marino Mikaele Tu'u
SHA,Back,Marius Louw
SUN,Lock,Mark Abbott
LIO,Flank,Marnus Schoeman
JAG,Scrumhalf,Martin Landajo
HIG,Flyhalf,Marty Banks
CHI,Flyhalf,Marty McKenzie
LIO,Lock,Marvin Orie
SUN,Loosehead Prop,Masataka Mikami
JAG,Lock,Matias Alemanno
JAG,Wing,Matias Moroni
JAG,Centre,Matias Orlando
BLU,Back,Matt Duffie
HIG,Fullback,Matt Faddes
REB,Loosehead Prop,Matt Gibbon
BRU,Scrumhalf,Matt Lucas
BLU,Flank,Matt Matich
BLU,Hooker,Matt Moulds
REB,Lock,Matt Philip
HUR,Centre,Matt Proctor
CRU,Flank,Matt Todd
JAG,Loosehead Prop,Mayco Vivas
STO,Hooker,Mbongeni Mbonami
BLU,Fullback,Melani Nanai
CRU,Tighthead Prop,Michael Alaalatoa
CHI,Lock,Michael Allardice
BLU,Fullback,Michael Collins
WAR,Flank,Michael Hooper
STO,Tighthead Prop,Michael Kumbirai
SUN,Centre,Michael Little
REB,Scrumhalf,Michael Ruru
WAR,Number 8,Michael Wells
CRU,Back,Mitch Hunt
CHI,Flank,Mitch Karpik
WAR,Scrumhalf,Mitch Short
CHI,Lock,Mitchell Brown
CRU,Scrumhalf,Mitchell Drummond
CRU,Lock,Mitchell Dunshea
RED,Scrumhalf,Moses Sorovi
BRU,Lock,Murray Douglas
SHA,Loosehead Prop,Mzamo Majola
JAG,Loosehead Prop,Nahuel Tetaz Chaparro
CHI,Hooker,Nathan Harris
LIO,Loosehead Prop,Nathan McBeth
SUN,Hooker,Nathan Vella
WAR,Lock,Ned Hanigan
STO,Tighthead Prop,Neethling Fouche
CHI,Tighthead Prop,Nepo Laulala
CRU,Back,Ngane Punivai
HUR,Centre,Ngani Laumape
LIO,Scrumhalf,Nic Groom
WAR,Scrumhalf,Nick Phipps
BLU,Tighthead Prop,Ofa Tuungafasi
CRU,Tighthead Prop,Oli Jager
CHI,Flyhalf,Orbyn Leger
BLU,Flyhalf,Otere Black
CRU,Tighthead Prop,Owen Franks
JAG,Flank,Pablo Matera
HIG,Lock,Paripari Parkinson
BLU,Lock,Patrick Tuipulotu
BUL,Number 8,Paul Schoeman
SUN,Loosehead Prop,Pauliasi Manu
BRU,Number 8,Peter Samu
SHA,Flank,Phendulani Buthelezi
SUN,Centre,Phil Burleigh
SHA,Flank,Phillip Van Der Walt
LIO,Hooker,Pieter Jansen
STO,Flank,Pieter-Steph du Toit
CHI,Flank,Pita Sowakula
REB,Tighthead Prop,Pone Fa'amausili
REB,Flyhalf,Quade Cooper
CRU,Lock,Quinten Strange
SUN,Number 8,Rahboni Warren-Vosayaco
JAG,Wing,Ramiro Moyano
HIG,Hooker,Ray Niuia
REB,Wing,Reece Hodge
HUR,Flank,Reed Prinsep
SUN,Wing,Rene Ranger
BUL,Lock,RG Snyman
LIO,Lock,Rhyno Herbst
SHA,Fullback,Rhyno Smith
HIG,Centre,Richard Buckman
REB,Flank,Richard Hardwick
HUR,Scrumhalf,Richard Judd
CRU,Flyhalf,Richie Mo'unga
HIG,Hooker,Ricky Jackson
HUR,Hooker,Ricky Riccitelli
BLU,Wing,Rieko Ioane
SUN,Flyhalf,Rikiya Matsuda
WAR,Lock,Rob Simmons
HIG,Centre,Rob Thompson
BRU,Flank,Rob Valetini
REB,Hooker,Robbie Abel
LIO,Hooker,Robbie Coetzee
SHA,Flyhalf,Robert du Preez
LIO,Lock,Robert Kruger
REB,Flank,Robert Leota
JAG,Flank,Rodrigo Bruni
BUL,Flank,Roelof Smit
BRU,Lock,Rory Arnold
WAR,Loosehead Prop,Rory O'Connor
BUL,Wing,Rosko Speckman
LIO,Scrumhalf,Ross Cronje
REB,Lock,Ross Haylett-Petty
SHA,Lock,Ruan Botha
LIO,Wing,Ruan Combrinck
RED,Tighthead Prop,Ruan Smith
BUL,Flank,Ruan Steenkamp
LIO,Lock,Ruan Vermaak
SHA,Lock,Ruben van Heerden
STO,Centre,Ruhan Nel
CHI,Loosehead Prop,Ryan Coxon
CRU,Centre,Ryan Crotty
BRU,Scrumhalf,Ryan Lonergan
WAR,Lock,Ryan McCauley
SUN,Fullback,Ryohei Yamanaka
SUN,Centre,Ryoto Nakamura
HUR,Back,Salesi Rayasi
STO,Lock,Salmaan Moerat
BRU,Lock,Sam Carter
