Team,Score,Metres carried,Carries,Defenders beaten,Clean breaks,Offloads,Turnovers conceded,Missed tackles,Turnovers won,Conversions missed,Penalty goals,Penalty goals missed,Drop goals,Drop goals missed,Rucks won %,Mauls won,Lineouts won,Lineouts lost,Lineouts won %,Scrums won,Scrums lost,Scrums won %,Penalties conceded,Red cards,Yellow cards,Possession,Tries,Passes,Tackles,Kicks in play,Conversions,Rucks won,Rucks lost,Match_ID
BRU,14,342,96,15,2,7,20,26,12,0,0,0,0,0,47%,3,13,4,37%,5,0,42%,7,0,0,0.45,2,143,121,22,2,60,3,reds-brumbies-suncorp-stadium-24032019
HUR,8,423,154,17,3,6,19,19,8,1,1,0,0,0,61%,0,13,2,59%,9,0,56%,8,0,0,0.62,1,201,111,13,0,110,6,hurricanes-crusaders-westpac-stadium-29032019
CRU,32,352,101,19,12,12,17,17,10,1,2,0,0,0,38%,2,7,2,32%,3,4,19%,14,0,1,0.38,4,111,172,18,3,68,2,hurricanes-crusaders-westpac-stadium-29032019
WAR,29,371,109,21,13,10,22,22,4,1,1,0,0,0,50%,6,12,0,46%,4,0,29%,5,0,0,0.48,4,151,113,31,3,76,1,nsw-waratahs-sunwolves-mcdonald-jones-stadium-29032019
SUN,31,399,109,22,7,7,18,21,3,0,1,0,0,0,47%,0,13,1,50%,10,0,71%,6,0,0,0.52,4,165,113,24,4,71,4,nsw-waratahs-sunwolves-mcdonald-jones-stadium-29032019
BLU,24,544,93,26,25,15,19,25,8,0,1,0,0,0,28%,2,10,4,40%,8,0,62%,12,1,0,0.36,3,120,182,15,3,47,5,blues-stormers-eden-park-30032019
STO,9,464,163,25,13,18,18,26,10,0,3,1,0,0,69%,4,14,1,56%,5,0,38%,7,0,0,0.64,0,237,92,22,0,115,4,blues-stormers-eden-park-30032019
RED,13,341,91,20,9,6,18,7,8,0,2,0,0,0,45%,0,9,3,36%,7,1,39%,8,0,0,0.42,1,96,126,17,1,63,0,reds-rebels-suncorp-stadium-30032019
REB,32,355,109,7,2,2,13,20,8,1,2,0,0,0,52%,6,14,2,56%,11,0,61%,8,0,0,0.58,4,107,108,23,3,74,4,reds-rebels-suncorp-stadium-30032019
SHA,16,351,113,19,10,11,16,14,6,2,2,1,0,0,59%,5,13,2,54%,5,1,38%,8,1,0,0.58,2,155,92,22,0,79,4,sharks-bulls-jonsson-kings-park-30032019
